Student   -----   Assignment Grades  -----  Ass  Mid  Fin LEx Total  Pct Gr
--------  -- -- -- -- -- -- -- -- -- -- --  ---  ---  --- --- -----  --- ß--
00418467  13 20 19 20 19 18 19 20 20 11 19  187   47   82  35   370   93 A
98955447  11 15 20 19 16  7  4 19 20 18 18  163   34   86  48   349   87 B
00372859  19 16  4 20 19  2  6 17 19 12 17  149   50   39  38   293   73 C
40849954   8 19  2 20 16 19 18 20 20 19 15  174   42    0  39   270   68 D+
90726270   7 15 19 20 15  5 19 19 20  9 19  162   44   82  34   341   85 B
49458909   2 20 12 19 17  1 14 19 20 14 19  156   50   43  39   307   77 C
02910836  19 15  0 20 19 17  4 16 19 20 16  165   34   95  38   348   87 B
12345678  20 18 20 16 20 20 20 16 20 19 20  193   48   95  49   405  101 A-
28139514   5 19  3 20 17 19  0 20 20 19 16  158   40   32  41   287   72 C
66180580  16 20 19 20 16  4 19 19 20 13 19  181   47   91  33   371   93 A
42720055   3 20 10 19 15  6  2 19 20 10 20  142   47   55  36   300   75 C
97895255  19 16 16 20 19 15  4 20 19  3 20  168   31   10  34   263   66 D
61392423   3 19 17 20 16 19 18 19 20 19 19  186   42    7  48   302   76 C
43551185  15 17 19 20 15  8 19 17 20 11 19  172   38   93  29   351   88 B+
61549510  15 19 14 19 17  0 15 19 20 11 20  169   45   18  41   293   73 C
74878297  19 16 20 20 19 10  6 20 19 14 18  175   49   36  32   310   78 C+
75932725   2 19 13 20 17 19  9 18 20 19 16  170   44   28  43   301   75 C
26951624  18 19 19 20 17 18 19 19 20  6 19  188   31   83  33   354   89 B+
02272043  11 18 13 19 16  2 10 19 20  0 16  144   34   86  45   325   81 B-
49240188  19 16  0 20 19  0  7 18 19  0 16  134   30   94  25   299   75 C
28352356   9 19  2 20 18 19 11 16 20 19 16  167   36   69  40   328   82 B
65598932  13 15 19 20 19  0 19 20 20  8 19  172   43    2  42   278   70 C-
01751459   6 19  5 19 17  3  3 19 20 13 15  136   40   23  39   253   63 D
26781752  19 16 15 20 19  8 11 20 19  9 19  167   39   16  34   275   69 D+
67402044  12 19 12 20 18 19  9 20 20 19 20  179   43   60  50   352   88 B+
82133992  11 18 19 20 19 13 19 19 20 10 19  177   45   31  47   319   80 B-
55427619  15 17 19 19 18  2 17 19 20  2 17  163   46   90  29   345   86 B
78709601  19 19 19 20 19  7 16 20 19  8 18  177   30   91  30   346   87 B
46811588   6 19  2 20 19 19 17 15 20 19 20  174   39   43  47   323   81 B-
27265411  16 16 19 20 15 17 19 19 20  5 19  180   43   83  46   371   93 A
08145994   0 17  7 19 18 13  5 19 20 15 15  148   45   45  28   281   70 C-
54546303  19 15 19 20 19 19  3 15 19 13 20  178   31   19  39   287   72 C
12823653  15 19  0 20 17 19  2 16 20 19 17  164   38   53  39   311   78 C+
14616234   3 18 19 20 19  4 19 15 20  5 19  158   34   16  40   267   67 D
81151679  12 17  8 19 20  9  3 19 20 10 16  150   30   77  50   323   81 B-
96765629  19 18  6 20 19 11  7 18 19  9 15  155   36    6  43   255   64 D
60211662  15 19 14 20 16 19  0 15 20 19 20  177   34    6  25   262   66 D
22901293  18 17 19 20 15 13 19 19 20 20 19  186   35   70  31   341   85 B
74626633   8 18  3 19 15  9  9 19 20 17 18  152   32   75  28   305   76 C
69250658  19 17 19 20 19 18  1 15 19  4 18  168   43   44  49   322   81 B-
41610524  11 19 17 20 20 19  0 16 20 19 15  176   50   53  48   342   86 B
86649970  17 17 19 20 15  4 19 18 20 20 19  184   39   30  43   315   79 C+
14501615  13 18  7 19 18  3 10 19 20  1 15  142   41   11  39   248   62 D
04746972  19 20 20 20 19  3 19 15 19  1 15  169   33   38  47   302   76 C
59456806  15 19 14 20 16 19  5 20 20 19 19  181   40   56  37   333   83 B
96775969   9 15 19 20 16 15 19 16 20 19 19  178   33   34  49   313   78 C+
58690681  14 20 15 19 15  4 19 19 20 13 15  169   33   76  38   331   83 B
20421310  19 15 20 20 19 13  1 15 19 20 16  176   47   25  36   300   75 C
27560807  10 19  1 20 15 19 18 17 20 19 17  174   37   78  31   337   84 B
66089252  17 17 19 20 16  9 19 15 20 20 19  182   38   27  47   313   78 C+
